ID	TP/FP	alt support	ref support
HG2_Ill_svaba_28	TP	23	18
HG3_Ill_150bpfermikitraw_23	TP	51	1
HG4_Ill_GATKHC_44	TP	3	1
HG4_Ill_svaba_36	TP	4	7
HG2_PB_assemblyticsfalcon_47	TP	4	3
HG4_Ill_scalpel_15	TP	5	0
HG2_PB_SVrefine2PBcRplusDovetail_26	TP	36	5
HG4_Ill_250bpfermikitraw_27	TP	43	-1
HG3_PB_SVrefine2Falcon1Dovetail_29	TP	50	-1
HG2_PB_assemblyticsPBcR_40	TP	47	-1
HG3_Ill_FB_14	TP	73	-1
HG4_Ill_150bpfermikitraw_20	TP	68	0
HG2_Ill_GATKHC_39	TP	27	24
HG2_Ill_Krunchall_25	TP	27	13
HG2_PB_SVrefine2PB10Xhap12_34	TP	6	0
HG3_PB_SVrefine2PBcRDovetail_27	TP	6	47
HG2_Ill_250bpfermikitraw_31	TP	15	-1
HG3_Ill_FB_17	TP	26	21
HG3_Ill_GATKHC_43	FP	14	11
HG3_Ill_GATKHCSBGrefine_13	FP	2	-1
HG2_Ill_SVrefine2DISCOVARplusDovetail_18	TP	12	-1
HG2_Ill_150bpfermikitraw_26	TP	49	21
HG4_Ill_GATKHCSBGrefine_21	FP	1	51
HG3_PB_assemblyticsfalcon_53	FP	4	1
HG2_10X_SVrefine210Xhap12_21	TP	23	1
HG4_Ill_scalpel_17	TP	41	2
HG3_Ill_150bpfermikitraw_30	FP	1	49
HG2_Ill_scalpel_20	TP	34	25
HG2_PB_SVrefine2Falcon1plusDovetail_39	TP	7	-1
HG2_10X_SVrefine210Xhap12_24	TP	19	51
HG3_Ill_SVrefine2DISCOVARDovetail_18	TP	1	27
HG2_Ill_SpiralSDKrefine_24	TP	15	17
HG4_Ill_scalpel_19	FP	6	-1
HG2_10X_SVrefine210Xhap12_27	TP	1	34
HG2_Ill_scalpel_22	TP	11	19
HG2_PB_SVrefine2Falcon1plusDovetail_44	TP	22	20
HG3_Ill_250bpfermikitraw_39	FP	9	17
HG3_Ill_svaba_47	TP	20	19
HG3_PB_pbsv_50	TP	6	43
HG2_10X_SVrefine210Xhap12_29	TP	1	51
HG2_PB_assemblyticsfalcon_71	TP	1	-1
HG2_PB_SVrefine2Falcon1plusDovetail_46	TP	52	-1
HG4_Ill_150bpfermikitraw_26	TP	36	25
HG2_10X_SVrefine210Xhap12_30	TP	8	17
HG2_PB_SVrefine2PB10Xhap12_43	TP	56	15
HG3_Ill_GATKHC_53	TP	21	1
HG2_Ill_FB_19	TP	72	18
HG2_Ill_250bpfermikitraw_40	TP	56	0
HG4_PB_SVrefine2Falcon1Dovetail_39	TP	5	12
HG2_PB_PB10Xdip_1249	TP	77	0
HG4_PB_SVrefine2PBcRDovetail_27	TP	3	50
HG2_Ill_GATKHCSBGrefine_19	TP	26	17
HG2_Ill_150bpfermikitraw_33	TP	31	5
HG3_Ill_scalpel_29	FP	1	59
HG4_Ill_FB_17	TP	17	24
HG4_Ill_FB_18	TP	29	20
HG2_Ill_150bpfermikitraw_34	TP	10	6
HG2_PB_SVrefine2PBcRplusDovetail_41	TP	39	-1
HG3_Ill_GATKHCSBGrefine_21	TP	6	4
HG3_Ill_GATKHCSBGrefine_22	TP	7	3
HG4_Ill_Krunchall_41	TP	13	13
HG4_Ill_GATKHCSBGrefine_33	TP	69	15
HG3_PB_pbsv_62	TP	3	12
HG3_PB_SVrefine2Falcon1Dovetail_55	TP	18	-1
HG4_Ill_scalpel_27	TP	228	19
HG2_Ill_250bpfermikitraw_46	TP	8	34
HG2_Ill_scalpel_29	TP	11	50
HG3_Ill_scalpel_33	TP	84	46
HG3_Ill_GATKHC_65	TP	15	99
HG3_Ill_250bpfermikitraw_47	TP	18	35
HG2_PB_SVrefine2PB10Xhap12_54	TP	1	-1
HG4_PB_SVrefine2PBcRDovetail_34	TP	1	75
HG4_Ill_GATKHC_74	TP	19	17
HG2_PB_HySA_109	TP	13	5
HG2_PB_assemblyticsfalcon_92	TP	18	0
HG4_Ill_250bpfermikitraw_48	TP	39	2
HG4_Ill_svaba_61	FP	3	37
HG2_PB_SVrefine2PB10Xhap12_60	TP	4	26
HG2_Ill_SVrefine2DISCOVARplusDovetail_36	TP	28	0
HG2_Ill_SpiralSDKrefine_32	TP	42	0
HG2_PB_SVrefine2Falcon1plusDovetail_64	TP	2	16
HG4_PB_assemblyticsfalcon_81	FP	1	1
HG2_Ill_scalpel_33	TP	25	22
HG4_Ill_GATKHC_82	FP	28	17
HG2_PB_PB10Xdip_1937	TP	1	8
HG2_PB_HySA_117	TP	5	-1
HG2_PB_pbsv_72	TP	2	2
HG3_Ill_MetaSV_15	TP	31	-1
HG2_PB_PB10Xdip_1943	TP	18	0
HG2_Ill_GATKHCSBGrefine_31	TP	26	13
HG3_Ill_250bpfermikitraw_53	TP	21	27
HG2_Ill_Krunchall_46	TP	37	15
HG2_Ill_GATKHC_74	TP	31	32
HG3_Ill_SVrefine2DISCOVARDovetail_30	TP	10	0
HG3_Ill_Krunchall_42	TP	51	0
HG3_Ill_FB_25	TP	27	2
HG2_Ill_250bpfermikitraw_58	TP	11	11
HG2_PB_SVrefine2PBcRplusDovetail_52	TP	32	-1
HG2_PB_SVrefine2Falcon2Bionano_50	TP	31	6
HG2_PB_PB10Xdip_2052	TP	4	3
HG2_Ill_scalpel_37	TP	7	-1
HG2_Ill_150bpfermikitraw_47	TP	4	0
HG4_PB_pbsv_79	TP	2	48
HG2_Ill_FB_25	TP	5	6
HG2_PB_SVrefine2Falcon1plusDovetail_71	TP	38	-1
HG2_Ill_SpiralSDKrefine_36	TP	10	23
HG2_PB_SVrefine2PB10Xhap12_70	TP	42	2
HG3_Ill_svaba_71	TP	36	0
HG3_Ill_SVrefine2DISCOVARDovetail_33	TP	1	73
HG2_10X_allpass_4	TP	1	30
HG2_PB_HySA_144	TP	8	-1
HG4_Ill_GATKHCSBGrefine_48	TP	21	-1
HG4_Ill_GATKHCSBGrefine_49	TP	17	-1
HG2_Ill_150bpfermikitraw_50	TP	1	9
HG4_Ill_150bpfermikitraw_46	TP	24	17
HG4_Ill_FB_25	TP	23	12
HG2_PB_pbsv_87	TP	2	13
HG2_Ill_150bpfermikitraw_52	TP	46	0
HG4_Ill_FB_27	FP	2	10
HG2_Ill_SVrefine2DISCOVARplusDovetail_46	TP	23	22
HG2_CG_vcfBeta_30	TP	6	12
HG2_Ill_FB_31	TP	49	29
HG4_PB_assemblyticsfalcon_100	TP	17	22
HG3_Ill_250bpfermikitraw_68	FP	3	41
HG2_Ill_150bpfermikitraw_55	TP	55	9
HG2_PB_SVrefine2PB10Xhap12_78	TP	44	30
HG3_PB_HySA_112	TP	3	19
HG2_PB_SVrefine2Falcon1plusDovetail_81	TP	18	11
HG2_PB_SVrefine2PBcRplusDovetail_66	TP	2	10
HG3_Ill_scalpel_45	TP	17	5
HG3_Ill_GATKHC_97	FP	42	45
HG2_Ill_GATKHCSBGrefine_40	TP	41	-1
HG2_Ill_Krunchall_57	TP	11	10
HG3_PB_assemblyticsfalcon_118	TP	18	15
HG3_PB_SVrefine2Falcon1Dovetail_78	FP	4	32
HG2_PB_PB10Xdip_2132	TP	27	-1
HG2_Ill_svaba_78	TP	14	10
HG3_PB_HySA_123	FP	1	21
HG4_Ill_GATKHC_104	TP	24	22
HG4_Ill_150bpfermikitraw_57	TP	26	16
HG2_Ill_250bpfermikitraw_76	TP	51	0
HG3_Ill_SVrefine2DISCOVARDovetail_38	TP	3	55
HG3_Ill_svaba_84	TP	41	0
HG3_Ill_svaba_86	TP	12	2
HG2_Ill_manta_14	TP	17	19
HG2_PB_HySA_172	TP	9	-1
HG2_PB_SVrefine2PBcRplusDovetail_73	TP	12	-1
HG4_PB_HySA_146	FP	3	15
HG2_Ill_SpiralSDKrefine_49	TP	37	18
HG2_Ill_SpiralSDKrefine_50	TP	65	0
HG4_Ill_250bpfermikitraw_75	TP	119	102
HG2_Ill_150bpfermikitraw_66	TP	16	13
HG2_Ill_Krunchall_65	TP	14	10
HG4_Ill_150bpfermikitraw_63	TP	13	19
HG3_PB_pbsv_112	FP	21	27
HG2_PB_SVrefine2PB10Xhap12_95	TP	1	0
HG3_Ill_scalpel_49	FP	1	-1
HG2_Ill_250bpfermikitraw_83	TP	18	19
HG2_PB_SVrefine2Falcon2Bionano_74	TP	2	47
HG2_PB_SVrefine2Falcon1plusDovetail_93	TP	19	-1
HG3_PB_HySA_136	TP	12	-1
HG4_PB_HySA_156	TP	1	6
HG2_Ill_FB_37	TP	64	16
HG2_PB_SVrefine2Falcon1plusDovetail_94	TP	46	-1
HG3_Ill_svaba_95	TP	16	-1
HG2_PB_PB10Xdip_2235	TP	56	19
HG2_PB_SVrefine2PB10Xhap12_100	TP	54	-1
HG4_CG_vcfBeta_33	FP	1	0
HG2_Ill_250bpfermikitraw_85	TP	8	1
HG2_Ill_svaba_97	TP	3	-1
HG2_PB_SVrefine2PB10Xhap12_101	TP	40	-1
HG3_Ill_svaba_98	FP	3	32
HG3_Ill_MetaSV_20	FP	2545	42
HG3_Ill_250bpfermikitraw_86	TP	31	41
HG4_Ill_150bpfermikitraw_66	TP	46	0
HG4_PB_SVrefine2Falcon1Dovetail_82	TP	2	6
HG2_PB_SVrefine2Falcon1plusDovetail_99	TP	28	1
HG3_Ill_svaba_105	TP	13	1
HG2_Ill_GATKHCSBGrefine_50	TP	12	10
HG3_Ill_GATKHC_120	TP	13	6
HG3_Ill_GATKHCSBGrefine_47	TP	3	-1
HG2_Ill_250bpfermikitraw_89	TP	9	-1
HG4_Ill_250bpfermikitraw_83	TP	18	64
HG3_Ill_scalpel_58	FP	7	30
HG3_Ill_250bpfermikitraw_93	TP	14	18
HG3_Ill_250bpfermikitraw_94	TP	32	-1
HG2_Ill_scalpel_57	TP	29	0
HG2_10X_SVrefine210Xhap12_75	TP	21	26
HG3_Ill_250bpfermikitraw_96	FP	1	31
HG3_Ill_svaba_111	TP	18	-1
HG3_Ill_svaba_112	TP	4	2
HG3_PB_assemblyticsfalcon_142	TP	12	31
HG3_Ill_Krunchall_77	TP	37	30
HG2_PB_assemblyticsfalcon_153	TP	12	17
HG2_Ill_Krunchall_75	TP	9	4
HG3_Ill_scalpel_64	TP	54	0
HG2_CG_vcfBeta_43	TP	9	2
HG3_Ill_scalpel_65	TP	49	0
HG3_Ill_svaba_118	TP	36	0
HG4_Ill_150bpfermikitraw_75	TP	24	18
HG4_Ill_SVrefine2DISCOVARDovetail_54	TP	32	-1
HG4_Ill_svaba_110	TP	1	19
HG2_Ill_scalpel_63	TP	12	27
HG4_PB_assemblyticsfalcon_145	TP	46	15
HG4_Ill_manta_10	TP	40	1
HG4_Ill_Krunchall_82	FP	55	0
HG2_PB_HySA_224	TP	10	1
HG2_PB_SVrefine2Falcon2Bionano_87	TP	42	0
HG2_Ill_250bpfermikitraw_103	TP	32	24
HG4_Ill_150bpfermikitraw_79	TP	6	16
HG2_Ill_svaba_120	TP	8	4
HG2_Ill_Krunchall_86	TP	24	13
HG4_Ill_GATKHCSBGrefine_76	TP	12	83
HG2_Ill_SVrefine2DISCOVARplusDovetail_67	TP	21	30
HG2_Ill_GATKHCSBGrefine_59	TP	22	18
HG2_Ill_SpiralSDKrefine_67	TP	15	38
HG4_Ill_GATKHC_138	FP	29	-1
HG2_PB_PB10Xdip_2373	TP	1	30
HG4_PB_HySA_185	TP	6	-1
HG4_PB_pbsv_138	TP	21	12
HG3_Ill_GATKHC_151	TP	6	3
HG3_10X_allpass_14	TP	41	55
HG2_Ill_GATKHC_138	TP	30	76
HG3_Ill_GATKHC_155	TP	10	17
HG3_Ill_GATKHCSBGrefine_54	TP	14	1
HG2_Ill_Cortex_20	TP	69	0
HG3_Ill_GATKHC_158	TP	46	42
HG2_Ill_150bpfermikitraw_89	TP	61	15
HG3_Ill_Spiral_74	TP	41	0
HG2_Ill_SpiralSDKrefine_71	TP	98	11
HG3_Ill_Krunchall_94	FP	38	40
HG2_PB_SVrefine2Falcon2Bionano_91	TP	2	68
HG2_PB_SVrefine2Falcon1plusDovetail_110	TP	52	-1
HG2_PB_SVrefine2Falcon1plusDovetail_111	TP	29	0
HG4_PB_pbsv_145	FP	1	10
HG3_Ill_GATKHC_161	TP	4	-1
HG2_Ill_scalpel_79	TP	23	2
HG2_PB_SVrefine2Falcon1plusDovetail_112	TP	49	-1
HG2_PB_SVrefine2Falcon2Bionano_95	TP	4	2
HG2_Ill_FB_55	TP	8	17
HG2_Ill_MetaSV_23	TP	20	23
HG2_Ill_250bpfermikitraw_116	TP	12	5
HG2_PB_PB10Xdip_2445	TP	5	12
HG3_Ill_GATKHC_167	FP	1	33
HG2_Ill_svaba_133	TP	6	-1
HG4_Ill_SVrefine2DISCOVARDovetail_63	TP	1	33
HG2_PB_SVrefine2PB10Xhap12_130	TP	4	-1
HG2_Ill_150bpfermikitraw_95	TP	5	8
HG2_Ill_SVrefine2DISCOVARplusDovetail_75	TP	1	30
HG3_Ill_scalpel_81	FP	1	18
HG4_Ill_scalpel_68	FP	9	1023
HG3_Ill_FB_58	TP	34	29
HG2_Ill_250bpfermikitraw_120	TP	16	14
HG2_PB_SVrefine2PBcRplusDovetail_105	TP	37	9
HG4_Ill_GATKHC_164	TP	41	-1
HG2_Ill_svaba_139	TP	53	0
HG2_Ill_svaba_140	TP	24	15
HG2_PB_PB10Xdip_2578	TP	30	2
HG3_PB_SVrefine2Falcon1Dovetail_116	FP	2	0
HG3_Ill_GATKHC_178	TP	28	15
HG2_PB_SVrefine2Falcon1plusDovetail_127	TP	4	-1
HG2_Ill_GATKHCSBGrefine_70	TP	23	1
HG4_Ill_GATKHCSBGrefine_88	TP	14	19
HG4_Ill_FB_60	TP	20	16
HG3_PB_SVrefine2PBcRDovetail_95	TP	8	-1
HG3_PB_HySA_205	FP	17	-1
HG2_Ill_250bpfermikitraw_125	TP	10	20
HG3_Ill_150bpfermikitraw_102	TP	42	0
HG2_CG_vcfBeta_57	TP	35	0
HG2_PB_PB10Xdip_2587	TP	12	17
HG2_Ill_250bpfermikitraw_128	TP	13	17
HG3_PB_SVrefine2PBcRDovetail_96	TP	28	1
HG2_Ill_svaba_146	TP	14	18
HG3_Ill_GATKHCSBGrefine_67	TP	5	19
HG4_Ill_FB_65	FP	26	46
HG2_PB_HySA_287	TP	14	29
HG4_Ill_GATKHCSBGrefine_91	TP	20	38
HG3_PB_SVrefine2Falcon1Dovetail_123	TP	14	31
HG4_Ill_GATKHC_176	TP	9	8
HG3_Ill_FB_65	TP	1	14
HG4_Ill_GATKHC_177	TP	12	39
HG2_Ill_svaba_148	TP	32	21
HG2_PB_SVrefine2Falcon1plusDovetail_136	TP	72	37
HG4_Ill_150bpfermikitraw_109	TP	41	14
HG4_Ill_GATKHC_180	TP	17	39
HG4_Ill_Krunchall_118	TP	24	23
HG2_PB_SVrefine2PB10Xhap12_151	TP	1324	8
HG3_PB_SVrefine2PBcRDovetail_105	TP	40	-1
HG2_Ill_FB_72	TP	28	3
HG2_Ill_FB_73	TP	32	0
HG3_Ill_GATKHCSBGrefine_70	TP	21	33
HG2_Ill_GATKHC_173	TP	19	19
HG2_Ill_GATKHC_174	TP	20	9
HG4_PB_HySA_233	TP	18	34
HG2_PB_HySA_303	TP	53	4
HG4_PB_pbsv_180	FP	43	-1
HG2_PB_PB10Xdip_2742	TP	5	64
HG2_PB_PB10Xdip_2745	TP	1	2
HG4_Ill_Krunchall_120	TP	47	30
HG3_Ill_scalpel_96	TP	68	24
HG3_Ill_250bpfermikitraw_140	TP	15	12
HG4_Ill_250bpfermikitraw_133	TP	43	0
HG2_Ill_SVrefine2DISCOVARplusDovetail_91	TP	44	13
HG4_Ill_GATKHC_185	FP	36	18
HG4_Ill_scalpel_87	FP	60	0
HG2_10X_SVrefine210Xhap12_111	TP	3	48
HG2_PB_SVrefine2Falcon1plusDovetail_144	TP	51	1
HG3_Ill_FB_71	TP	15	17
HG2_PB_SVrefine2PB10Xhap12_161	TP	38	-1
HG2_PB_SVrefine2PB10Xhap12_162	TP	20	-1
HG2_Ill_GATKHCSBGrefine_77	TP	7	1
HG3_PB_HySA_238	FP	43	23
HG3_PB_pbsv_190	TP	14	23
HG3_Ill_GATKHC_198	TP	60	38
HG2_Ill_GATKHC_181	TP	63	52
HG3_Ill_GATKHCSBGrefine_77	FP	48	50
HG2_Ill_svaba_156	TP	41	18
HG4_Ill_manta_21	TP	1	11
HG4_Ill_svaba_158	TP	48	3
HG2_Ill_FB_78	TP	34	16
HG4_Ill_svaba_159	TP	11	41
HG4_Ill_150bpfermikitraw_118	TP	49	0
HG3_PB_SVrefine2PBcRDovetail_112	TP	14	-1
HG4_Ill_scalpel_93	TP	38	26
HG3_Ill_svaba_165	TP	18	25
HG2_PB_SVrefine2PB10Xhap12_167	TP	6	-1
HG4_Ill_Krunchall_130	FP	20	36
HG4_Ill_Krunchall_131	TP	32	37
HG3_Ill_Krunchall_130	FP	42	81
HG4_Ill_Krunchall_132	TP	28	60
HG4_Ill_Krunchall_133	TP	21	21
HG2_Ill_250bpfermikitraw_148	TP	14	6
HG2_Ill_svaba_165	TP	2	38
HG2_Ill_breakscan11_2936	TP	7	8
HG4_Ill_250bpfermikitraw_146	TP	44	2
HG4_CG_vcfBeta_65	FP	28	323
HG2_10X_SVrefine210Xhap12_117	TP	66	0
HG2_PB_SVrefine2PBcRplusDovetail_134	TP	100	5
HG3_PB_SVrefine2PBcRDovetail_117	TP	16	14
HG2_PB_SVrefine2PB10Xhap12_173	TP	26	-1
HG4_Ill_svaba_174	TP	89	2
HG3_Ill_GATKHCSBGrefine_86	TP	61	-1
HG3_Ill_SVrefine2DISCOVARDovetail_82	FP	2	98
HG3_Ill_250bpfermikitraw_155	TP	49	23
HG3_Ill_SVrefine2DISCOVARDovetail_85	FP	79	46
HG2_Ill_FB_86	TP	46	0
HG3_Ill_150bpfermikitraw_129	TP	79	37
HG3_Ill_Krunchall_135	FP	6	105
HG3_Ill_Krunchall_136	FP	1	45
HG3_Ill_GATKHCSBGrefine_89	FP	18	85
HG3_Ill_GATKHCSBGrefine_90	FP	15	43
HG3_Ill_SVrefine2DISCOVARDovetail_89	TP	16	4
HG2_Ill_GATKHC_196	TP	30	4
HG4_Ill_FB_86	TP	32	0
HG2_Ill_Krunchall_136	TP	103	0
HG4_Ill_Krunchall_144	FP	1	37
HG4_Ill_Krunchall_145	FP	2	20
HG4_Ill_Krunchall_146	FP	1	51
HG3_Ill_svaba_181	FP	1	30
HG2_PB_SVrefine2PB10Xhap12_178	TP	20	-1
HG4_PB_HySA_258	FP	9	2
HG3_Ill_250bpfermikitraw_162	FP	25	27
HG3_Ill_Spiral_108	FP	4	15
HG4_Ill_GATKHC_215	TP	44	4
HG3_PB_SVrefine2PBcRDovetail_121	TP	22	-1
HG3_Ill_svaba_187	TP	4	14
HG4_Ill_svaba_188	TP	31	0
HG2_Ill_GATKHC_201	TP	44	41
HG3_Ill_Krunchall_148	FP	12	46
HG4_PB_SVrefine2PBcRDovetail_104	TP	45	3
HG4_Ill_150bpfermikitraw_140	FP	51	45
HG4_Ill_Krunchall_155	FP	2	48
HG3_Ill_150bpfermikitraw_137	TP	52	0
HG2_Ill_Krunchall_142	TP	47	31
HG4_Ill_GATKHC_223	TP	42	30
HG4_Ill_FB_97	TP	50	1
HG3_Ill_Krunchall_151	TP	19	9
HG4_Ill_GATKHC_226	TP	24	26
HG2_Ill_GATKHC_208	TP	38	22
HG4_PB_pbsv_208	FP	5	7
HG3_Ill_svaba_193	FP	5	1
HG2_Ill_scalpel_123	TP	10	45
HG4_Ill_svaba_192	FP	1	57
HG4_Ill_150bpfermikitraw_151	FP	1	80
HG2_Ill_FB_100	TP	97	0
HG3_Ill_GATKHCSBGrefine_94	TP	32	0
HG2_Ill_150bpfermikitraw_135	TP	48	4
HG4_CG_vcfBeta_80	TP	35	0
HG2_Ill_Krunchall_151	TP	82	2
HG4_PB_SVrefine2Falcon1Dovetail_149	TP	26	62
HG3_Ill_250bpfermikitraw_175	TP	37	15
HG4_Ill_250bpfermikitraw_172	TP	15	-1
HG2_PB_SVrefine2PBcRplusDovetail_146	TP	23	11
HG2_Ill_MetaSV_34	TP	2	181
HG3_Ill_scalpel_127	TP	53	-1
HG4_Ill_GATKHC_238	TP	21	-1
HG3_Ill_manta_25	TP	47	-1
HG4_10X_allpass_12	TP	26	-1
HG3_Ill_scalpel_129	TP	11	0
HG2_Ill_GATKHC_223	TP	26	-1
HG4_Ill_Krunchall_170	TP	25	18
HG4_Ill_GATKHC_245	TP	94	-1
HG2_10X_SVrefine210Xhap12_137	TP	89	-1
HG3_Ill_Spiral_125	TP	32	0
HG4_PB_assemblyticsfalcon_248	FP	30	0
HG2_PB_SVrefine2PBcRplusDovetail_149	TP	1	126
HG4_Ill_250bpfermikitraw_179	FP	7	-1
HG3_Ill_GATKHC_253	FP	21	31
HG4_Ill_manta_28	FP	14	-1
HG2_PB_SVrefine2Falcon2Bionano_103	TP	1	-1
HG2_Ill_GATKHCSBGrefine_99	TP	30	4
HG2_Ill_250bpfermikitraw_179	TP	32	0
HG2_Ill_Krunchall_158	TP	58	0
HG4_Ill_Krunchall_177	TP	33	19
HG3_PB_HySA_278	TP	70	0
HG4_Ill_GATKHC_252	TP	21	-1
HG2_Ill_GATKHCSBGrefine_100	TP	12	14
HG2_Ill_SpiralSDKrefine_125	TP	30	6
HG3_Ill_FB_113	FP	28	55
HG2_Ill_Krunchall_163	TP	16	31
HG3_Ill_FB_114	FP	1	31
HG2_Ill_GATKHC_236	TP	23	17
HG2_Ill_Cortex_39	TP	13	44
HG3_Ill_150bpfermikitraw_156	TP	27	29
HG4_Ill_FB_116	TP	17	21
HG4_Ill_Krunchall_184	TP	1	9
HG4_Ill_GATKHC_258	TP	18	31
HG2_Ill_GATKHCSBGrefine_101	TP	24	27
HG3_Ill_scalpel_143	TP	42	25
HG2_PB_PB10Xdip_449	TP	1	25
HG4_Ill_SVrefine2DISCOVARDovetail_108	TP	28	-1
HG2_PB_PB10Xdip_451	TP	21	30
HG4_PB_pbsv_223	TP	96	21
HG2_Ill_GATKHCSBGrefine_103	TP	10	23
HG4_Ill_GATKHCSBGrefine_131	TP	6	48
HG3_Ill_250bpfermikitraw_190	TP	37	5
HG4_Ill_250bpfermikitraw_189	TP	30	41
HG2_PB_SVrefine2Falcon2Bionano_107	TP	24	-1
HG2_Ill_GATKHCSBGrefine_107	TP	6	-1
HG3_PB_SVrefine2Falcon1Dovetail_166	FP	14	15
HG4_Ill_150bpfermikitraw_174	TP	20	76
HG2_PB_HySA_380	TP	340	15
HG3_PB_assemblyticsfalcon_274	FP	20	37
HG2_PB_HySA_381	TP	14	-1
HG4_Ill_Krunchall_189	TP	13	17
HG4_Ill_Krunchall_190	FP	2	47
HG4_Ill_Krunchall_191	FP	1	50
HG2_Ill_GATKHC_249	TP	5	8
HG4_Ill_250bpfermikitraw_193	TP	37	79
HG4_CG_vcfBeta_88	TP	46	0
HG4_Ill_GATKHCSBGrefine_133	FP	12	41
HG3_Ill_GATKHC_274	TP	13	27
HG4_PB_HySA_313	FP	132	39
HG3_Ill_scalpel_148	TP	28	19
HG2_PB_HySA_389	TP	3	0
HG3_Ill_150bpfermikitraw_165	TP	22	26
HG3_Ill_svaba_218	TP	14	27
HG2_PB_SVrefine2PB10Xhap12_203	TP	22	3
HG2_Ill_svaba_203	TP	60	22
HG3_Ill_GATKHC_276	TP	20	0
HG4_PB_assemblyticsfalcon_268	TP	31	47
HG4_Ill_svaba_216	TP	19	-1
HG4_Ill_Krunchall_196	TP	17	-1
HG3_Ill_Krunchall_187	FP	2	23
HG2_Ill_150bpfermikitraw_161	TP	8	-1
HG4_Ill_250bpfermikitraw_203	FP	1	13
HG3_Ill_GATKHCSBGrefine_113	FP	73	-1
HG2_Ill_GATKHC_259	TP	115	-1
HG2_Ill_FB_128	TP	20	31
HG4_Ill_FB_130	TP	33	0
HG2_Ill_GATKHCSBGrefine_110	TP	17	22
HG2_10X_SVrefine210Xhap12_156	TP	6	16
HG2_PB_pbsv_227	TP	57	7
HG3_PB_SVrefine2PBcRDovetail_140	TP	55	7
HG4_Ill_svaba_220	TP	23	23
HG4_Ill_scalpel_132	TP	66	6
HG2_PB_pbsv_229	TP	160	216
HG2_Ill_SpiralSDKrefine_138	TP	31	157
HG4_Ill_svaba_223	TP	24	138
HG3_Ill_250bpfermikitraw_204	TP	46	190
HG3_Ill_scalpel_152	TP	74	98
HG4_Ill_GATKHC_283	TP	45	75
